Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
EE1,building_footprint,140.88,140.88,140.88,140.88,nan,nan,nan,140.88,140.88,
EE1,storeys_above_ground,2,2,2.0,2.0,nan,nan,nan,2.0,2.0,
EE1,length_footprint,11.41,11.41,11.41,11.41,nan,nan,nan,11.41,11.41,
EE1,width_footprint,12.35,12.35,12.35,12.35,nan,nan,nan,12.35,12.35,
EE1,roof_ridge_height,10.16,10.16,10.16,10.16,nan,nan,nan,10.16,10.16,
EE1,eaves_height,3.76,3.76,3.76,3.76,nan,nan,nan,3.76,3.76,
EE1,number_roof_surfaces,3,3,3.0,3.0,nan,nan,nan,3.0,3.0,
EE1,roof_type,,,,,,,,,,3100: 100.0%
EE1,development_type_code,,,,,,,,,,A12: 100.0%
EE2,building_footprint,66.66,314.58,150.74,140.63,65.04,109.42,192.07,108.96,177.9,
EE2,storeys_above_ground,1,2,1.83,2.0,0.39,1.59,2,2.0,2.0,
EE2,length_footprint,10.15,17.82,12.45,11.9,2.04,11.16,13.75,11.29,13.18,
EE2,width_footprint,5.6,17.65,11.8,11.53,3.33,9.68,13.91,9.72,14.06,
EE2,roof_ridge_height,3.0,10.11,7.29,7.87,2.12,5.94,8.63,6.56,8.56,
EE2,eaves_height,2.6,7.05,4.69,4.72,1.26,3.89,5.49,4.0,5.17,
EE2,number_roof_surfaces,1,26,7.25,3.5,8.07,2.12,12.38,2.0,10.0,
EE2,roof_slope,0.0,90.0,45.0,45.0,63.64,0.0,90.0,0.0,90.0,
EE2,roof_type,,,,,,,,,,3100: 83.33%
EE2,roof_type,,,,,,,,,,3200: 8.33%
EE2,roof_type,,,,,,,,,,1000: 8.33%
EE2,development_type_code,,,,,,,,,,A12: 50.0%
EE2,development_type_code,,,,,,,,,,A11: 50.0%
EE3,building_footprint,14.64,802.18,200.73,189.24,96.68,192.25,209.22,178.77,195.4,
EE3,storeys_above_ground,1,3,1.87,2.0,0.4,1.83,1.9,2.0,2.0,
EE3,length_footprint,3.96,29.53,13.76,13.73,3.53,13.45,14.07,13.31,14.07,
