Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
1,building_footprint,28.4,1061.64,251.87,191.66,183.97,221.02,282.73,170.79,210.09,
1,storeys_above_ground,1,4,2.01,2.0,0.37,1.94,2.07,2.0,2.0,
1,length_footprint,4.94,41.53,15.05,13.88,6.01,14.04,16.05,12.63,15.05,
1,width_footprint,4.81,40.91,15.7,14.47,6.82,14.56,16.85,13.23,15.59,
1,roof_ridge_height,2.72,20.39,9.07,8.99,1.89,8.75,9.39,8.75,9.26,
1,eaves_height,2.39,12.71,5.61,5.48,1.46,5.37,5.86,5.32,5.74,
1,number_roof_surfaces,1,14,3.57,3.0,2.41,3.16,3.97,2.0,3.0,
1,roof_slope,0.0,90.0,36.56,40.2,36.52,27.28,45.83,0.0,55.67,
1,roof_type,,,,,,,,,,3100: 77.7%
1,roof_type,,,,,,,,,,3300: 13.67%
1,roof_type,,,,,,,,,,3200: 2.88%
1,roof_type,,,,,,,,,,5000: 2.88%
1,roof_type,,,,,,,,,,1000: 2.16%
1,roof_type,,,,,,,,,,3400: 0.72%
1,development_type_code,,,,,,,,,,A11: 58.23%
1,development_type_code,,,,,,,,,,A12: 22.78%
1,development_type_code,,,,,,,,,,A13: 10.13%
1,development_type_code,,,,,,,,,,C11: 7.59%
1,development_type_code,,,,,,,,,,B12: 1.27%
2,building_footprint,12.2,2041.4,317.04,229.79,281.38,292.83,341.26,218.48,246.17,
2,storeys_above_ground,1,5,2.03,2.0,0.58,1.98,2.08,2.0,2.0,
2,length_footprint,3.27,60.04,16.65,15.43,7.19,16.04,17.27,14.88,16.11,
2,width_footprint,3.47,47.39,16.95,15.59,7.55,16.3,17.6,14.9,16.29,
2,roof_ridge_height,2.14,22.11,9.57,9.37,2.9,9.32,9.82,9.14,9.56,
2,eaves_height,1.76,18.46,6.28,5.88,2.45,6.07,6.49,5.72,6.13,
2,number_roof_surfaces,1,38,5.28,3.0,5.63,4.79,5.76,3.0,4.0,
2,roof_slope,0.0,90.0,44.8,50.08,36.49,39.64,49.95,46.24,56.26,
2,roof_type,,,,,,,,,,3100: 70.44%
2,roof_type,,,,,,,,,,3300: 9.6%
2,roof_type,,,,,,,,,,3200: 6.72%
2,roof_type,,,,,,,,,,1000: 5.57%
2,roof_type,,,,,,,,,,5000: 4.61%
2,roof_type,,,,,,,,,,2100: 1.54%
2,roof_type,,,,,,,,,,3400: 1.15%
2,roof_type,,,,,,,,,,3500: 0.38%
2,development_type_code,,,,,,,,,,A11: 48.01%
2,development_type_code,,,,,,,,,,A12: 21.75%
2,development_type_code,,,,,,,,,,A13: 18.83%
2,development_type_code,,,,,,,,,,C11: 7.16%
2,development_type_code,,,,,,,,,,B11: 2.39%
2,development_type_code,,,,,,,,,,B12: 1.86%
3,building_footprint,14.64,11591.11,343.39,304.67,320.99,335.25,351.53,300.84,308.63,
3,storeys_above_ground,0,7,2.92,3.0,1.0,2.9,2.95,3.0,3.0,
3,length_footprint,3.43,144.96,17.88,17.47,5.78,17.73,18.02,17.35,17.6,
3,width_footprint,2.84,107.39,17.82,17.5,5.33,17.69,17.96,17.36,17.61,
3,roof_ridge_height,1.68,33.01,14.57,14.45,4.58,14.45,14.68,14.29,14.6,
3,eaves_height,0.0,25.5,11.08,10.79,4.21,10.97,11.18,10.66,10.93,
3,number_roof_surfaces,1,182,6.99,6.0,6.04,6.84,7.15,6.0,6.0,
3,roof_slope,0.0,90.0,50.77,56.87,35.38,49.5,52.05,55.35,58.46,
3,roof_type,,,,,,,,,,3200: 35.89%
3,roof_type,,,,,,,,,,3400: 27.54%
3,roof_type,,,,,,,,,,3100: 24.16%
3,roof_type,,,,,,,,,,1000: 4.77%
3,roof_type,,,,,,,,,,5000: 2.53%
3,roof_type,,,,,,,,,,3500: 2.23%
3,roof_type,,,,,,,,,,3300: 1.84%
3,roof_type,,,,,,,,,,2100: 0.97%
3,roof_type,,,,,,,,,,2500: 0.05%
3,roof_type,,,,,,,,,,3600: 0.02%
3,development_type_code,,,,,,,,,,A13: 55.7%
3,development_type_code,,,,,,,,,,C11: 23.48%
3,development_type_code,,,,,,,,,,A12: 13.3%
3,development_type_code,,,,,,,,,,B12: 4.62%
3,development_type_code,,,,,,,,,,A11: 1.53%
3,development_type_code,,,,,,,,,,B11: 0.7%
3,development_type_code,,,,,,,,,,C12: 0.63%
3,development_type_code,,,,,,,,,,B13: 0.02%
3,development_type_code,,,,,,,,,,B14: 0.02%
4,building_footprint,11.51,2600.17,235.7,213.61,147.31,231.89,239.51,209.16,219.99,
4,storeys_above_ground,1,7,2.47,2.0,0.89,2.45,2.49,2.0,2.0,
4,length_footprint,1.92,68.67,14.74,14.38,4.51,14.63,14.86,14.21,14.53,
4,width_footprint,3.25,62.67,14.88,14.76,4.64,14.76,15.0,14.58,14.9,
4,roof_ridge_height,1.23,26.72,12.43,12.08,3.96,12.33,12.54,11.95,12.16,
4,eaves_height,0.01,22.96,8.42,7.8,3.71,8.32,8.51,7.66,7.96,
4,number_roof_surfaces,1,45,4.28,4.0,2.91,4.21,4.36,4.0,4.0,
4,roof_slope,0.0,90.0,40.25,47.01,35.58,38.77,41.72,45.3,48.6,
4,roof_type,,,,,,,,,,3100: 45.2%
4,roof_type,,,,,,,,,,3200: 43.81%
4,roof_type,,,,,,,,,,1000: 4.46%
4,roof_type,,,,,,,,,,3400: 2.35%
4,roof_type,,,,,,,,,,5000: 1.34%
4,roof_type,,,,,,,,,,3300: 1.11%
4,roof_type,,,,,,,,,,3500: 0.92%
4,roof_type,,,,,,,,,,2100: 0.78%
4,roof_type,,,,,,,,,,2500: 0.02%
4,development_type_code,,,,,,,,,,A12: 31.43%
4,development_type_code,,,,,,,,,,B12: 23.23%
4,development_type_code,,,,,,,,,,C11: 16.33%
4,development_type_code,,,,,,,,,,A13: 14.53%
4,development_type_code,,,,,,,,,,B11: 13.34%
4,development_type_code,,,,,,,,,,C12: 0.69%
4,development_type_code,,,,,,,,,,A11: 0.42%
4,development_type_code,,,,,,,,,,B13: 0.04%
5,building_footprint,22.62,11911.69,313.51,288.42,420.23,296.31,330.7,281.86,297.17,
5,storeys_above_ground,1,8,3.57,4.0,1.6,3.5,3.63,4.0,4.0,
5,length_footprint,4.57,156.26,17.1,17.28,6.96,16.82,17.39,17.17,17.41,
5,width_footprint,4.41,102.41,16.73,17.13,6.0,16.49,16.98,16.85,17.31,
5,roof_ridge_height,2.08,39.01,14.92,16.74,5.91,14.68,15.16,16.59,16.86,
5,eaves_height,0.01,29.14,11.59,13.2,5.63,11.36,11.82,13.08,13.38,
5,number_roof_surfaces,1,71,2.97,2.0,3.72,2.82,3.12,2.0,2.0,
5,roof_slope,0.0,90.0,35.25,38.44,35.94,32.67,37.83,3.43,44.02,
5,roof_type,,,,,,,,,,3100: 77.87%
5,roof_type,,,,,,,,,,3200: 9.41%
5,roof_type,,,,,,,,,,1000: 9.06%
5,roof_type,,,,,,,,,,5000: 1.79%
5,roof_type,,,,,,,,,,3400: 0.87%
5,roof_type,,,,,,,,,,2100: 0.61%
5,roof_type,,,,,,,,,,2500: 0.22%
5,roof_type,,,,,,,,,,3500: 0.17%
5,development_type_code,,,,,,,,,,B12: 49.34%
5,development_type_code,,,,,,,,,,A12: 25.0%
5,development_type_code,,,,,,,,,,A13: 8.91%
5,development_type_code,,,,,,,,,,C11: 6.78%
5,development_type_code,,,,,,,,,,B11: 3.41%
5,development_type_code,,,,,,,,,,C12: 2.79%
5,development_type_code,,,,,,,,,,B14: 2.3%
5,development_type_code,,,,,,,,,,A11: 0.89%
5,development_type_code,,,,,,,,,,B13: 0.58%
6,building_footprint,19.16,9868.11,394.81,309.71,456.1,369.53,420.09,306.57,312.27,
