Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
EE1,building_footprint,58.18,109.48,83.83,83.83,36.28,58.18,109.48,58.18,109.48,
EE1,storeys_above_ground,2,2,2.0,2.0,0.0,2.0,2.0,2.0,2.0,
EE1,length_footprint,11.41,11.69,11.55,11.55,0.2,11.41,11.69,11.41,11.69,
EE1,width_footprint,5.36,12.35,8.85,8.85,4.94,5.36,12.35,5.36,12.35,
EE1,roof_ridge_height,5.12,10.16,7.64,7.64,3.56,5.12,10.16,5.12,10.16,
EE1,eaves_height,4.8,5.8,5.3,5.3,0.71,4.8,5.8,4.8,5.8,
EE1,number_roof_surfaces,2,3,2.5,2.5,0.71,2,3,2.0,3.0,
EE1,roof_slope,47.37,82.76,65.06,65.06,25.02,47.37,82.76,47.37,82.76,
EE1,roof_type,,,,,,,,,,3100: 100.0%
EE1,development_type_code,,,,,,,,,,A12: 100.0%
EE2,building_footprint,47.72,133.46,78.58,77.0,23.14,65.22,91.94,61.06,89.92,
EE2,storeys_above_ground,1,2,1.79,2.0,0.43,1.54,2,2.0,2.0,
EE2,length_footprint,8.74,17.82,12.1,11.66,2.14,10.86,13.33,11.17,12.83,
EE2,width_footprint,5.6,17.65,11.68,11.53,3.53,9.64,13.72,9.31,14.35,
EE2,roof_ridge_height,3.0,10.11,7.34,7.87,2.04,6.16,8.52,6.56,8.62,
EE2,eaves_height,3.0,8.69,5.26,4.77,1.86,4.19,6.34,3.99,6.86,
EE2,number_roof_surfaces,1,26,6.64,3.5,7.59,2.26,11.03,2.0,8.02,
EE2,roof_slope,42.99,90.0,58.02,49.82,17.88,47.69,68.34,46.57,58.78,
EE2,roof_type,,,,,,,,,,3100: 78.57%
EE2,roof_type,,,,,,,,,,3200: 14.29%
EE2,roof_type,,,,,,,,,,1000: 7.14%
EE2,development_type_code,,,,,,,,,,A11: 50.0%
EE2,development_type_code,,,,,,,,,,A12: 50.0%
EE3,building_footprint,33.25,441.9,114.88,108.43,47.31,110.71,119.04,104.24,112.21,
EE3,storeys_above_ground,1,3,1.88,2.0,0.38,1.84,1.91,2.0,2.0,
EE3,length_footprint,6.1,29.53,14.12,13.88,3.23,13.84,14.4,13.53,14.21,
EE3,width_footprint,5.16,28.49,14.3,13.96,3.33,14.01,14.6,13.71,14.22,
EE3,roof_ridge_height,2.92,15.53,8.98,8.78,2.26,8.78,9.18,8.57,9.09,
EE3,eaves_height,2.54,13.47,6.58,6.32,1.95,6.4,6.75,6.08,6.58,
EE3,number_roof_surfaces,1,88,6.28,6.0,5.01,5.84,6.72,5.0,6.0,
EE3,roof_slope,33.87,90.0,58.5,56.43,12.71,57.38,59.62,55.26,57.42,
EE3,roof_type,,,,,,,,,,3100: 60.84%
EE3,roof_type,,,,,,,,,,3200: 19.28%
EE3,roof_type,,,,,,,,,,3400: 5.42%
EE3,roof_type,,,,,,,,,,3300: 4.62%
EE3,roof_type,,,,,,,,,,1000: 3.61%
EE3,roof_type,,,,,,,,,,5000: 3.41%
EE3,roof_type,,,,,,,,,,3500: 1.41%
EE3,roof_type,,,,,,,,,,2100: 1.41%
EE3,development_type_code,,,,,,,,,,A12: 48.11%
EE3,development_type_code,,,,,,,,,,A13: 43.65%
EE3,development_type_code,,,,,,,,,,A11: 4.45%
EE3,development_type_code,,,,,,,,,,B12: 2.0%
EE3,development_type_code,,,,,,,,,,C11: 0.89%
EE3,development_type_code,,,,,,,,,,B11: 0.67%
EE3,development_type_code,,,,,,,,,,B13: 0.22%
EE4,building_footprint,30.23,345.2,92.43,86.9,32.26,90.33,94.52,84.76,89.64,
EE4,storeys_above_ground,1,3,1.83,2.0,0.4,1.8,1.85,2.0,2.0,
EE4,length_footprint,4.07,26.27,12.86,12.62,2.57,12.69,13.03,12.45,12.81,
EE4,width_footprint,4.83,27.65,12.73,12.48,2.6,12.56,12.9,12.26,12.62,
EE4,roof_ridge_height,2.14,15.48,9.3,9.29,1.97,9.17,9.43,9.11,9.48,
EE4,eaves_height,2.06,11.18,6.03,6.06,1.77,5.91,6.14,5.85,6.24,
EE4,number_roof_surfaces,1,58,4.96,5.0,3.16,4.75,5.17,4.0,5.0,
EE4,roof_slope,29.61,90.0,51.49,48.07,12.95,50.64,52.33,47.62,48.53,
EE4,roof_type,,,,,,,,,,3100: 57.41%
EE4,roof_type,,,,,,,,,,3200: 32.49%
EE4,roof_type,,,,,,,,,,3500: 3.29%
EE4,roof_type,,,,,,,,,,5000: 2.52%
EE4,roof_type,,,,,,,,,,3300: 1.54%
EE4,roof_type,,,,,,,,,,3400: 1.32%
EE4,roof_type,,,,,,,,,,1000: 1.1%
EE4,roof_type,,,,,,,,,,2100: 0.33%
EE4,development_type_code,,,,,,,,,,A12: 78.23%
EE4,development_type_code,,,,,,,,,,A13: 17.57%
EE4,development_type_code,,,,,,,,,,B12: 2.04%
EE4,development_type_code,,,,,,,,,,A11: 1.02%
EE4,development_type_code,,,,,,,,,,C11: 0.68%
EE4,development_type_code,,,,,,,,,,B11: 0.45%
EE5,building_footprint,30.67,402.94,95.04,88.74,35.19,92.03,98.06,85.57,91.34,
EE5,storeys_above_ground,1,5,1.59,2.0,0.53,1.55,1.64,2.0,2.0,
EE5,length_footprint,6.9,31.82,13.03,12.59,2.88,12.79,13.28,12.42,12.77,
EE5,width_footprint,6.86,29.46,12.69,12.41,2.73,12.46,12.93,12.24,12.57,
EE5,roof_ridge_height,1.81,12.75,7.77,8.49,2.31,7.57,7.97,8.24,8.64,
EE5,eaves_height,1.81,12.09,4.76,4.56,1.4,4.64,4.88,4.46,4.66,
EE5,number_roof_surfaces,1,13,3.12,3.0,1.83,2.96,3.27,2.0,3.0,
EE5,roof_slope,36.47,90.0,56.9,48.43,17.81,55.38,58.43,46.2,50.09,
EE5,roof_type,,,,,,,,,,3100: 80.8%
EE5,roof_type,,,,,,,,,,1000: 8.94%
EE5,roof_type,,,,,,,,,,3200: 4.75%
EE5,roof_type,,,,,,,,,,5000: 2.85%
EE5,roof_type,,,,,,,,,,2100: 1.33%
EE5,roof_type,,,,,,,,,,3400: 0.76%
EE5,roof_type,,,,,,,,,,3500: 0.57%
EE5,development_type_code,,,,,,,,,,A12: 77.56%
EE5,development_type_code,,,,,,,,,,A13: 18.24%
EE5,development_type_code,,,,,,,,,,A11: 2.61%
EE5,development_type_code,,,,,,,,,,B12: 0.8%
EE5,development_type_code,,,,,,,,,,B11: 0.6%
EE5,development_type_code,,,,,,,,,,C11: 0.2%
EE7,building_footprint,31.87,406.28,104.59,97.25,34.29,102.61,106.57,95.43,98.78,
EE7,storeys_above_ground,1,4,1.83,2.0,0.44,1.81,1.86,2.0,2.0,
EE7,length_footprint,5.87,29.55,13.52,13.22,2.65,13.37,13.67,13.06,13.35,
EE7,width_footprint,6.19,26.67,13.34,13.08,2.6,13.19,13.49,12.93,13.27,
EE7,roof_ridge_height,2.2,17.79,8.55,8.6,1.58,8.46,8.64,8.48,8.75,
EE7,eaves_height,2.1,15.79,5.86,5.93,1.51,5.77,5.95,5.81,6.04,
EE7,number_roof_surfaces,1,20,3.54,3.0,2.23,3.41,3.67,3.0,3.5,
EE7,roof_slope,37.2,90.0,59.92,55.54,14.71,59.07,60.77,54.19,57.22,
EE7,roof_type,,,,,,,,,,3100: 52.51%
EE7,roof_type,,,,,,,,,,3200: 17.56%
EE7,roof_type,,,,,,,,,,1000: 13.84%
EE7,roof_type,,,,,,,,,,3500: 8.82%
EE7,roof_type,,,,,,,,,,3300: 3.55%
EE7,roof_type,,,,,,,,,,5000: 2.51%
EE7,roof_type,,,,,,,,,,3400: 0.69%
EE7,roof_type,,,,,,,,,,2100: 0.43%
EE7,roof_type,,,,,,,,,,3900: 0.09%
