Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
1,building_footprint,33.5,371.57,121.93,105.23,64.67,111.39,132.47,96.72,114.07,
1,storeys_above_ground,1,4,2.03,2.0,0.31,1.98,2.08,2.0,2.0,
1,length_footprint,6.04,41.53,15.32,14.13,5.95,14.35,16.28,12.98,15.05,
1,width_footprint,5.36,40.91,16.27,14.73,6.71,15.18,17.36,13.62,16.2,
1,roof_ridge_height,3.18,12.77,9.03,9.01,1.5,8.78,9.27,8.75,9.34,
1,eaves_height,2.66,10.88,5.96,5.9,1.28,5.76,6.17,5.7,6.03,
1,number_roof_surfaces,1,14,3.67,3.0,2.34,3.29,4.06,2.0,3.0,
1,roof_slope,35.12,90.0,44.56,41.28,10.32,42.87,46.24,40.7,42.63,
1,roof_type,,,,,,,,,,3100: 82.31%
1,roof_type,,,,,,,,,,3300: 12.24%
1,roof_type,,,,,,,,,,3200: 2.72%
1,roof_type,,,,,,,,,,5000: 2.04%
1,roof_type,,,,,,,,,,1000: 0.68%
1,development_type_code,,,,,,,,,,A11: 53.75%
1,development_type_code,,,,,,,,,,A12: 25.0%
1,development_type_code,,,,,,,,,,A13: 12.5%
1,development_type_code,,,,,,,,,,C11: 7.5%
1,development_type_code,,,,,,,,,,B12: 1.25%
2,building_footprint,31.8,1401.99,153.62,123.29,116.44,143.85,163.38,117.94,129.63,
2,storeys_above_ground,1,5,2.03,2.0,0.51,1.98,2.07,2.0,2.0,
2,length_footprint,5.4,62.92,17.13,15.69,7.11,16.53,17.73,15.12,16.23,
2,width_footprint,5.13,49.66,17.35,15.68,7.46,16.73,17.98,15.26,16.41,
2,roof_ridge_height,2.43,21.71,9.62,9.37,2.56,9.41,9.84,9.21,9.56,
2,eaves_height,2.43,18.25,6.6,6.21,2.27,6.41,6.79,6.02,6.33,
2,number_roof_surfaces,1,38,5.23,3.0,5.35,4.78,5.68,3.0,4.0,
2,roof_slope,31.38,90.0,50.51,47.39,12.68,49.44,51.57,46.57,48.25,
2,roof_type,,,,,,,,,,3100: 74.32%
2,roof_type,,,,,,,,,,3300: 10.56%
2,roof_type,,,,,,,,,,3200: 6.38%
2,roof_type,,,,,,,,,,5000: 4.55%
2,roof_type,,,,,,,,,,1000: 2.0%
2,roof_type,,,,,,,,,,3400: 1.28%
2,roof_type,,,,,,,,,,2100: 0.73%
2,roof_type,,,,,,,,,,3500: 0.18%
2,development_type_code,,,,,,,,,,A11: 46.84%
2,development_type_code,,,,,,,,,,A12: 24.05%
2,development_type_code,,,,,,,,,,A13: 17.22%
2,development_type_code,,,,,,,,,,C11: 6.33%
2,development_type_code,,,,,,,,,,B12: 2.53%
2,development_type_code,,,,,,,,,,B11: 2.28%
2,development_type_code,,,,,,,,,,C12: 0.76%
3,building_footprint,29.37,2959.82,194.43,184.75,103.73,191.83,197.02,182.37,187.69,
3,storeys_above_ground,1,7,2.9,3.0,0.97,2.87,2.92,3.0,3.0,
3,length_footprint,4.26,97.94,17.77,17.43,5.04,17.65,17.9,17.33,17.57,
3,width_footprint,4.21,107.39,17.78,17.45,5.05,17.66,17.91,17.33,17.57,
3,roof_ridge_height,2.07,33.01,14.39,14.25,4.62,14.28,14.51,14.1,14.41,
3,eaves_height,2.07,25.91,11.73,11.49,4.23,11.63,11.84,11.29,11.66,
3,number_roof_surfaces,1,182,6.96,6.0,6.0,6.81,7.11,6.0,6.0,
3,roof_slope,20.53,90.0,62.42,59.93,13.6,62.08,62.76,59.68,60.16,
3,roof_type,,,,,,,,,,3200: 35.56%
3,roof_type,,,,,,,,,,3400: 27.14%
3,roof_type,,,,,,,,,,3100: 24.0%
3,roof_type,,,,,,,,,,1000: 5.3%
3,roof_type,,,,,,,,,,5000: 2.6%
3,roof_type,,,,,,,,,,3500: 2.18%
3,roof_type,,,,,,,,,,3300: 1.79%
3,roof_type,,,,,,,,,,2100: 1.38%
3,roof_type,,,,,,,,,,4000: 0.02%
3,roof_type,,,,,,,,,,3700: 0.02%
3,roof_type,,,,,,,,,,3600: 0.02%
3,development_type_code,,,,,,,,,,A13: 55.53%
3,development_type_code,,,,,,,,,,C11: 23.8%
3,development_type_code,,,,,,,,,,A12: 12.95%
3,development_type_code,,,,,,,,,,B12: 4.54%
3,development_type_code,,,,,,,,,,A11: 1.69%
3,development_type_code,,,,,,,,,,B11: 0.8%
3,development_type_code,,,,,,,,,,C12: 0.58%
3,development_type_code,,,,,,,,,,B14: 0.07%
3,development_type_code,,,,,,,,,,B13: 0.03%
4,building_footprint,27.76,1017.23,133.94,135.62,69.58,132.12,135.75,131.97,138.64,
4,storeys_above_ground,1,5,2.5,2.0,0.88,2.48,2.53,2.0,2.0,
4,length_footprint,4.07,68.63,14.94,14.53,4.34,14.82,15.05,14.36,14.72,
4,width_footprint,3.65,48.51,15.05,14.87,4.43,14.94,15.17,14.74,15.08,
4,roof_ridge_height,1.85,26.72,12.63,12.15,3.82,12.53,12.73,12.07,12.31,
4,eaves_height,1.85,23.77,9.02,8.59,3.47,8.93,9.11,8.37,8.83,
4,number_roof_surfaces,1,58,4.38,4.0,2.97,4.3,4.45,4.0,4.0,
4,roof_slope,23.5,90.0,52.8,49.7,12.45,52.47,53.12,49.43,49.98,
4,roof_type,,,,,,,,,,3100: 46.15%
4,roof_type,,,,,,,,,,3200: 44.93%
4,roof_type,,,,,,,,,,1000: 2.82%
4,roof_type,,,,,,,,,,3400: 2.34%
4,roof_type,,,,,,,,,,5000: 1.4%
4,roof_type,,,,,,,,,,3300: 1.14%
4,roof_type,,,,,,,,,,3500: 0.91%
4,roof_type,,,,,,,,,,2100: 0.3%
4,development_type_code,,,,,,,,,,A12: 30.07%
4,development_type_code,,,,,,,,,,B12: 23.76%
4,development_type_code,,,,,,,,,,C11: 16.82%
4,development_type_code,,,,,,,,,,A13: 14.86%
4,development_type_code,,,,,,,,,,B11: 13.36%
4,development_type_code,,,,,,,,,,C12: 0.72%
4,development_type_code,,,,,,,,,,A11: 0.38%
4,development_type_code,,,,,,,,,,B13: 0.04%
5,building_footprint,23.94,3691.03,168.88,160.7,160.28,162.29,175.48,159.88,161.45,
5,storeys_above_ground,1,8,3.58,4.0,1.59,3.51,3.65,4.0,4.0,
5,length_footprint,5.89,156.26,17.16,17.31,6.87,16.88,17.45,17.19,17.42,
5,width_footprint,5.03,102.41,16.81,17.15,5.94,16.56,17.05,16.89,17.32,
5,roof_ridge_height,1.81,35.79,14.93,16.74,5.89,14.68,15.17,16.53,16.86,
5,eaves_height,1.81,29.13,11.91,13.35,5.54,11.68,12.14,13.13,13.86,
5,number_roof_surfaces,1,71,2.97,2.0,3.81,2.82,3.13,2.0,2.0,
5,roof_slope,22.46,90.0,59.39,55.53,13.82,58.82,59.96,55.32,55.7,
5,roof_type,,,,,,,,,,3100: 78.2%
5,roof_type,,,,,,,,,,3200: 9.56%
5,roof_type,,,,,,,,,,1000: 9.11%
5,roof_type,,,,,,,,,,5000: 1.76%
5,roof_type,,,,,,,,,,3400: 0.7%
5,roof_type,,,,,,,,,,2100: 0.48%
5,roof_type,,,,,,,,,,3500: 0.18%
5,development_type_code,,,,,,,,,,B12: 50.0%
5,development_type_code,,,,,,,,,,A12: 24.44%
5,development_type_code,,,,,,,,,,A13: 9.03%
5,development_type_code,,,,,,,,,,C11: 6.83%
5,development_type_code,,,,,,,,,,B11: 3.46%
5,development_type_code,,,,,,,,,,C12: 2.79%
5,development_type_code,,,,,,,,,,B14: 2.38%
5,development_type_code,,,,,,,,,,A11: 0.72%
5,development_type_code,,,,,,,,,,B13: 0.36%
6,building_footprint,32.76,3828.24,222.08,168.28,198.48,211.03,233.13,167.6,168.88,
6,storeys_above_ground,1,17,6.15,6.0,2.12,6.03,6.27,5.0,6.0,
6,length_footprint,10.1,88.37,18.62,17.61,5.86,18.3,18.95,17.44,17.77,
6,width_footprint,7.93,111.66,19.31,17.57,7.94,18.87,19.75,17.44,17.72,
6,roof_ridge_height,4.02,52.51,20.66,18.77,6.78,20.28,21.03,18.69,18.82,
6,eaves_height,2.95,52.51,20.49,18.7,6.84,20.11,20.87,18.02,18.78,
6,number_roof_surfaces,1,10,1.53,1.0,0.98,1.47,1.58,1.0,1.0,
6,roof_slope,55.29,90.0,88.22,90.0,4.88,87.94,88.49,90.0,90.0,
6,roof_type,,,,,,,,,,1000: 85.51%
6,roof_type,,,,,,,,,,3100: 13.53%
6,roof_type,,,,,,,,,,5000: 0.72%
6,roof_type,,,,,,,,,,3200: 0.24%
6,development_type_code,,,,,,,,,,C12: 63.76%
6,development_type_code,,,,,,,,,,B13: 16.46%
6,development_type_code,,,,,,,,,,A13: 7.26%
6,development_type_code,,,,,,,,,,B12: 4.84%
6,development_type_code,,,,,,,,,,C11: 3.87%
6,development_type_code,,,,,,,,,,B14: 3.07%
6,development_type_code,,,,,,,,,,A12: 0.73%
7,building_footprint,31.87,4031.36,189.54,126.65,223.13,182.47,196.6,122.26,133.07,
7,storeys_above_ground,1,8,2.76,2.0,1.26,2.72,2.8,2.0,2.0,
7,length_footprint,5.62,102.67,17.17,14.85,8.45,16.9,17.43,14.63,15.1,
7,width_footprint,5.27,101.71,17.0,14.87,8.0,16.74,17.25,14.66,15.11,
7,roof_ridge_height,1.96,31.6,11.74,10.43,4.24,11.61,11.88,10.32,10.58,
7,eaves_height,1.96,29.24,9.15,7.71,4.46,9.01,9.29,7.54,7.95,
7,number_roof_surfaces,1,987,5.54,4.0,18.61,4.95,6.13,4.0,4.0,
7,roof_slope,17.35,90.0,63.43,58.78,16.49,62.91,63.95,58.06,59.65,
7,roof_type,,,,,,,,,,3100: 40.57%
7,roof_type,,,,,,,,,,1000: 17.44%
7,roof_type,,,,,,,,,,3200: 17.05%
7,roof_type,,,,,,,,,,3400: 11.24%
7,roof_type,,,,,,,,,,3500: 6.23%
7,roof_type,,,,,,,,,,5000: 3.31%
7,roof_type,,,,,,,,,,3300: 2.95%
7,roof_type,,,,,,,,,,3900: 0.76%
7,roof_type,,,,,,,,,,2100: 0.39%
7,roof_type,,,,,,,,,,3700: 0.03%
7,roof_type,,,,,,,,,,3800: 0.03%
7,development_type_code,,,,,,,,,,A12: 37.85%
7,development_type_code,,,,,,,,,,A13: 33.89%
7,development_type_code,,,,,,,,,,B12: 8.34%
7,development_type_code,,,,,,,,,,B11: 7.78%
7,development_type_code,,,,,,,,,,C11: 7.5%
7,development_type_code,,,,,,,,,,A11: 2.59%
7,development_type_code,,,,,,,,,,C12: 1.34%
7,development_type_code,,,,,,,,,,B13: 0.39%
7,development_type_code,,,,,,,,,,B14: 0.31%
EE,building_footprint,23.94,441.9,101.05,93.88,37.25,99.74,102.36,92.9,95.29,
EE,storeys_above_ground,1,5,1.79,2.0,0.45,1.78,1.81,2.0,2.0,
EE,length_footprint,4.07,31.82,13.34,13.02,2.81,13.24,13.44,12.92,13.1,
EE,width_footprint,4.83,29.46,13.2,12.85,2.82,13.1,13.3,12.75,12.96,
EE,roof_ridge_height,1.81,17.79,8.69,8.77,2.03,8.62,8.76,8.7,8.83,
EE,eaves_height,1.81,15.79,5.83,5.73,1.74,5.77,5.89,5.64,5.82,
EE,number_roof_surfaces,1,88,4.33,4.0,3.29,4.22,4.45,4.0,4.0,
EE,roof_slope,29.61,90.0,56.78,51.8,14.96,56.25,57.3,51.38,52.24,
EE,roof_type,,,,,,,,,,3100: 60.13%
EE,roof_type,,,,,,,,,,3200: 20.04%
EE,roof_type,,,,,,,,,,1000: 7.65%
EE,roof_type,,,,,,,,,,3500: 4.58%
EE,roof_type,,,,,,,,,,5000: 2.72%
EE,roof_type,,,,,,,,,,3300: 2.5%
EE,roof_type,,,,,,,,,,3400: 1.63%
EE,roof_type,,,,,,,,,,2100: 0.7%
EE,roof_type,,,,,,,,,,3900: 0.03%
EE,development_type_code,,,,,,,,,,A12: 71.61%
EE,development_type_code,,,,,,,,,,A13: 22.69%
EE,development_type_code,,,,,,,,,,A11: 2.5%
EE,development_type_code,,,,,,,,,,B12: 1.62%
